"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",3,2,4,2,2,4,4,1,5,2,4,1
"2",2,4,1,2,1,2,5,4,3,5,5,3
"3",2,1,2,3,5,3,1,5,2,1,4,2
"4",5,5,3,4,3,1,5,3,1,2,3,1
"5",4,5,5,1,4,3,2,4,4,4,2,2
"6",4,1,3,3,2,1,3,5,5,3,1,5
"7",1,2,5,4,4,2,3,1,2,5,3,4
"8",3,3,1,1,5,5,4,2,1,3,2,5
"9",1,4,4,5,1,5,2,3,3,1,1,3
"10",5,3,2,5,3,4,1,2,4,4,5,4
