"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",3,2,2,1,4,4,1,3,2,2,4,4,4,3,1
"2",3,4,2,3,2,3,1,1,2,1,2,1,4,1,4
"3",2,4,3,1,3,4,4,2,1,1,3,2,2,1,1
"4",2,4,1,3,4,2,1,4,2,4,3,2,2,4,2
"5",4,1,1,2,3,3,2,1,4,4,1,2,2,2,1
"6",1,3,1,2,2,1,2,1,1,3,4,4,3,2,3
"7",4,4,4,1,1,4,2,3,3,4,1,3,3,3,3
"8",3,2,4,2,2,2,4,2,1,4,2,1,4,4,2
"9",1,2,3,1,4,2,1,2,4,3,2,3,1,1,3
"10",4,3,3,2,4,2,4,4,4,2,4,1,3,2,4
"11",1,3,2,4,3,4,3,3,1,3,1,1,1,3,4
"12",3,3,1,4,1,3,4,3,3,3,4,3,1,1,2
"13",4,2,3,4,2,1,1,4,1,1,1,3,2,2,2
"14",1,1,3,3,1,1,2,3,3,3,3,1,4,2,1
"15",2,2,4,4,2,4,2,1,4,2,4,2,2,4,3
"16",4,1,2,1,1,1,3,2,2,2,3,2,1,4,4
"17",2,1,4,3,3,3,3,4,2,4,3,4,3,1,4
"18",3,4,4,3,3,1,3,1,3,2,2,4,1,3,1
"19",2,1,1,4,4,2,4,2,3,1,1,3,4,3,3
"20",1,3,2,2,1,3,3,4,4,1,2,4,3,4,2
