"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",3,1,3,2,2,1,3,3,2,1,2,1
"2",2,2,1,1,3,1,2,3,1,3,2,3
"3",2,1,1,3,2,2,1,2,1,1,3,1
"4",1,1,2,2,3,3,1,2,2,1,1,3
"5",1,3,1,2,2,1,3,1,2,2,3,3
"6",2,3,3,1,3,2,2,1,1,2,1,1
"7",3,3,2,3,3,3,2,3,3,2,3,2
"8",3,2,3,3,1,2,1,1,2,3,2,3
"9",1,1,3,1,2,2,3,2,3,3,3,2
"10",2,3,2,2,1,1,1,2,3,3,1,1
"11",1,2,2,3,1,3,3,3,1,2,1,2
"12",3,2,1,1,1,3,2,1,3,1,2,2
