"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",12,8,18,1,16,1,15,8,19,17,15,11,1,1
"2",16,10,23,6,23,10,9,23,12,6,16,23,19,9
"3",6,22,3,20,6,7,14,14,9,5,13,10,22,2
"4",18,14,9,7,7,6,4,11,4,8,17,5,3,23
"5",10,20,17,8,1,14,11,5,18,1,10,22,9,20
"6",3,3,5,2,17,16,12,18,6,3,22,12,12,18
"7",20,16,4,16,10,12,8,17,21,19,21,20,7,5
"8",1,21,11,10,19,5,1,19,14,14,1,15,6,13
"9",5,2,22,15,8,11,20,15,22,7,4,7,5,12
"10",7,6,12,14,15,22,3,13,20,20,14,18,23,22
"11",8,18,13,13,21,18,21,3,3,9,18,16,4,6
"12",15,9,6,23,4,19,16,22,11,12,7,19,2,17
"13",4,12,7,5,9,4,23,10,5,21,5,21,15,10
"14",21,1,10,11,3,8,19,1,15,15,19,14,21,14
"15",22,4,16,18,12,3,2,6,7,4,8,17,11,7
"16",13,19,15,17,14,2,22,21,17,11,20,3,16,19
"17",9,7,2,19,22,9,10,4,10,22,11,1,8,16
"18",14,17,1,3,13,17,6,2,23,10,6,8,18,11
"19",17,15,21,21,18,13,13,9,1,16,3,13,20,21
"20",23,23,19,4,11,21,18,16,8,23,12,9,10,15
"21",11,5,14,9,2,15,7,20,2,18,9,4,17,3
"22",2,13,20,22,5,20,5,7,13,13,23,6,13,8
"23",19,11,8,12,20,23,17,12,16,2,2,2,14,4
