"","V1","V2","V3","V4","V5","V6"
"1",12,8,8,19,24,2
"2",25,21,6,23,14,11
"3",14,17,20,24,26,18
"4",15,10,5,1,7,10
"5",4,15,16,13,23,26
"6",2,24,12,21,18,16
"7",9,13,4,26,9,23
"8",26,7,19,9,6,17
"9",24,12,13,2,25,13
"10",5,18,3,7,20,5
"11",8,9,26,15,15,12
"12",17,4,14,20,3,25
"13",20,25,10,5,16,24
"14",13,22,1,12,5,20
"15",16,23,24,10,22,8
"16",11,3,22,4,19,22
"17",18,14,21,6,12,1
"18",22,16,9,14,1,4
"19",23,19,25,18,11,21
"20",3,11,23,22,4,9
"21",7,20,18,3,2,14
"22",10,26,15,17,8,3
"23",19,2,2,16,21,15
"24",21,5,17,25,17,6
"25",1,6,7,8,13,19
"26",6,1,11,11,10,7
