"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",26,29,12,21,6,15,21,20,28,15,24,16,4,1
"2",2,10,11,9,25,14,20,21,1,3,17,29,20,13
"3",11,21,27,27,10,18,11,7,26,21,13,27,23,5
"4",13,5,9,22,22,24,2,25,27,19,20,6,17,21
"5",19,7,17,16,28,27,22,1,8,18,6,20,11,3
"6",12,18,19,3,14,3,12,26,9,8,28,5,9,4
"7",4,26,8,10,13,28,10,22,16,27,3,18,3,17
"8",5,12,13,20,16,13,9,2,5,28,29,15,28,26
"9",16,23,18,1,19,22,17,15,29,4,5,13,29,25
"10",14,16,5,23,15,1,29,5,18,2,1,17,19,8
"11",9,3,4,5,8,21,5,16,6,14,9,11,21,2
"12",22,2,25,6,18,11,27,24,24,29,15,14,13,7
"13",29,11,15,2,7,8,1,11,17,23,7,28,12,19
"14",15,17,21,17,9,23,28,29,4,17,12,26,7,29
"15",7,28,24,26,24,7,23,18,10,22,8,10,15,23
"16",27,8,16,28,11,29,26,17,15,7,27,9,24,18
"17",28,20,1,15,26,17,14,28,14,24,11,4,27,9
"18",1,14,22,13,1,26,19,12,19,26,23,1,16,10
"19",24,9,7,11,12,10,18,3,25,10,10,3,8,27
"20",18,25,10,7,4,5,24,8,3,20,18,7,25,16
"21",20,15,28,12,29,2,6,19,20,16,25,19,22,28
"22",10,1,29,14,5,16,13,6,13,1,19,12,1,22
"23",6,6,20,19,3,6,15,27,23,11,4,22,26,14
"24",25,27,23,8,17,25,4,4,11,9,21,24,18,12
"25",8,19,2,4,23,20,25,9,22,13,26,23,10,20
"26",17,4,6,29,20,4,16,14,12,25,22,25,2,11
"27",21,22,3,25,2,12,7,23,7,5,16,21,14,24
"28",3,24,14,18,27,9,3,10,21,6,14,8,6,6
"29",23,13,26,24,21,19,8,13,2,12,2,2,5,15
