"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",8,2,7,1,5,3,13,16,21,11,4,13
"2",10,7,13,21,15,23,24,14,11,5,3,1
"3",5,3,3,15,11,19,6,21,2,17,12,6
"4",24,14,11,23,3,15,18,24,7,14,6,16
"5",22,19,4,13,10,7,4,8,14,3,2,17
"6",6,1,21,12,24,17,19,7,15,13,24,15
"7",4,24,2,16,20,5,20,17,16,7,14,11
"8",2,12,9,9,2,11,16,6,6,1,18,4
"9",1,10,19,22,12,8,15,10,24,20,8,19
"10",15,18,20,20,6,1,11,19,13,15,23,3
"11",12,17,5,8,9,13,23,20,20,21,19,23
"12",9,16,12,19,23,2,8,4,3,12,10,24
"13",21,4,16,14,8,4,21,2,9,22,15,10
"14",16,9,1,5,18,20,17,3,12,16,7,21
"15",13,11,6,24,14,14,2,1,22,8,22,9
"16",7,13,24,10,19,12,1,18,8,24,1,12
"17",3,20,17,4,7,22,3,15,10,10,16,20
"18",18,5,23,17,1,16,7,12,18,6,13,22
"19",17,21,22,2,13,10,22,9,1,9,9,7
"20",20,15,18,11,21,21,14,22,23,2,11,8
"21",14,6,15,6,16,6,10,23,4,4,21,18
"22",19,22,8,18,17,24,12,11,5,23,20,14
"23",11,23,14,7,4,18,9,5,19,19,5,5
"24",23,8,10,3,22,9,5,13,17,18,17,2
