"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",19,3,15,5,3,5,4,12,14,12,15,12,7,19
"2",3,14,16,17,16,18,15,6,1,13,12,11,9,20
"3",10,20,1,1,6,19,12,10,17,8,11,19,3,10
"4",8,5,11,11,1,20,6,2,9,11,13,1,17,2
"5",15,4,2,6,15,17,11,18,7,14,5,6,14,17
"6",14,2,17,18,14,14,9,5,16,5,2,16,11,5
"7",9,8,19,16,5,1,13,20,8,18,9,20,13,9
"8",18,13,4,12,4,3,16,7,6,3,6,8,8,3
"9",16,10,6,15,7,12,14,4,19,20,20,10,19,14
"10",11,1,8,20,11,9,20,13,4,7,17,3,1,11
"11",6,9,5,8,17,2,7,3,10,2,18,18,10,16
"12",7,11,13,13,10,16,2,19,20,1,7,4,6,15
"13",4,17,3,19,13,6,5,15,15,15,14,7,12,4
"14",17,12,12,9,18,15,18,17,12,16,16,15,4,1
"15",1,15,9,10,2,10,19,14,13,6,1,14,16,18
"16",20,19,10,14,20,8,1,11,5,10,8,17,20,12
"17",5,6,14,2,19,4,17,9,18,9,10,5,18,8
"18",2,7,7,4,9,11,3,8,3,19,3,13,5,6
"19",13,16,18,3,8,13,8,16,2,4,19,9,15,7
"20",12,18,20,7,12,7,10,1,11,17,4,2,2,13
