"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",15,16,20,6,5,17,5,12,6,5,1,3,25,12,23,16,4
"2",2,9,13,27,24,27,17,14,1,10,3,8,9,19,5,14,19
"3",6,26,17,12,10,23,11,2,22,12,8,23,19,23,9,2,9
"4",19,4,5,18,8,22,26,24,9,15,6,16,20,22,26,8,16
"5",17,21,7,7,20,4,27,11,26,8,2,24,11,5,12,15,18
"6",9,13,26,1,16,19,23,7,14,1,14,19,13,26,21,25,26
"7",8,23,15,24,4,13,21,22,21,3,12,9,3,9,20,6,22
"8",22,18,12,26,15,1,6,18,23,22,7,12,14,24,22,26,8
"9",10,17,8,25,14,10,9,8,7,26,13,20,26,1,1,9,20
"10",18,19,10,10,17,12,10,27,12,6,26,7,8,27,3,7,5
"11",7,10,22,3,13,2,25,21,3,19,21,13,17,10,6,3,10
"12",11,14,6,5,23,20,16,17,18,25,20,25,2,14,24,5,2
"13",1,5,11,8,2,9,7,5,24,13,27,15,15,3,27,13,14
"14",5,20,2,15,6,25,24,9,11,23,18,5,12,6,14,24,6
"15",24,3,16,2,12,21,13,19,19,14,11,4,5,2,2,27,15
"16",25,24,25,16,26,24,8,20,5,7,17,18,16,4,19,10,12
"17",27,12,1,19,11,3,12,10,17,9,19,1,18,15,18,1,27
"18",21,8,9,23,22,18,22,4,20,4,24,14,24,11,7,19,7
"19",16,11,23,22,7,26,4,25,25,20,22,22,10,13,10,17,21
"20",4,25,3,4,25,14,3,23,16,17,10,10,21,16,8,18,24
"21",12,2,4,14,9,6,1,13,4,2,16,21,1,21,11,21,11
"22",26,15,27,17,1,8,19,6,15,18,4,17,4,17,4,12,3
"23",13,1,24,13,27,11,20,15,27,27,15,2,27,25,13,11,13
"24",14,27,21,21,21,5,15,1,8,16,23,6,6,18,25,20,17
"25",3,7,19,20,18,7,14,26,13,11,9,27,22,7,17,23,1
"26",20,6,18,11,19,16,2,3,10,24,5,11,7,8,16,4,25
"27",23,22,14,9,3,15,18,16,2,21,25,26,23,20,15,22,23
