"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",10,3,15,3,2,15,10,14
"2",12,5,5,8,18,17,5,8
"3",13,14,7,1,8,9,18,17
"4",17,10,4,10,3,6,2,15
"5",6,17,12,9,1,5,15,7
"6",11,15,6,15,16,3,11,3
"7",4,9,17,11,17,12,14,16
"8",2,4,3,4,10,2,12,10
"9",9,7,2,17,4,13,16,5
"10",16,2,13,13,14,7,17,11
"11",15,16,16,16,9,14,4,9
"12",14,8,18,7,6,1,8,4
"13",5,1,8,12,7,10,1,2
"14",8,6,11,18,11,4,6,18
"15",18,11,10,5,12,16,13,1
"16",3,12,14,2,15,8,3,6
"17",7,18,1,6,13,11,7,13
"18",1,13,9,14,5,18,9,12
