"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",24,6,16,20,5,19,21,22,15,3,24,26,1,7,5,16
"2",5,11,23,14,11,2,27,27,23,20,9,19,5,3,16,9
"3",2,20,12,22,25,7,15,23,6,4,4,6,7,13,27,14
"4",23,9,14,4,21,3,4,8,16,23,21,3,4,27,17,18
"5",6,5,1,26,22,16,6,12,25,15,13,11,9,6,2,7
"6",3,12,27,5,24,18,14,15,18,27,7,27,29,21,4,15
"7",26,4,13,8,16,11,9,24,26,17,2,23,19,16,28,28
"8",22,14,20,1,23,15,12,18,2,9,29,21,14,1,23,2
"9",10,25,17,2,6,4,22,6,20,8,1,12,15,11,3,20
"10",11,3,6,17,27,5,20,4,5,22,26,24,22,14,13,11
"11",15,18,10,11,10,9,3,2,29,5,18,28,8,20,11,3
"12",4,26,15,19,18,23,23,9,24,11,22,22,24,26,26,8
"13",19,22,2,6,1,17,28,14,3,16,10,25,10,28,20,13
"14",18,29,24,15,29,13,5,7,14,1,11,18,26,5,18,26
"15",16,19,25,12,28,21,19,25,28,18,27,5,11,24,7,21
"16",8,28,4,16,8,14,13,19,19,28,28,13,2,19,24,27
"17",13,8,3,3,13,29,16,26,17,2,19,4,27,15,19,5
"18",20,16,5,23,12,1,11,28,8,12,14,20,25,25,1,22
"19",1,17,11,7,3,26,8,11,7,21,23,17,17,4,9,25
"20",9,1,19,13,7,22,2,20,10,10,5,8,21,29,12,10
"21",17,7,26,27,4,8,18,10,13,29,12,15,16,23,29,1
"22",14,2,29,9,17,24,24,1,9,13,16,10,6,9,25,23
"23",27,27,9,10,20,10,26,21,11,26,15,7,20,8,8,4
"24",29,10,7,25,26,27,25,16,21,6,8,16,12,22,14,24
"25",12,23,18,28,19,25,1,29,12,25,17,29,13,10,21,19
"26",25,24,22,18,15,28,10,5,4,19,3,14,3,17,6,6
"27",7,13,21,29,14,12,29,13,1,7,20,1,18,18,10,29
"28",21,15,8,21,9,20,17,3,27,24,6,2,23,2,22,17
"29",28,21,28,24,2,6,7,17,22,14,25,9,28,12,15,12
