"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",5,5,7,6,18,10,2,17,14,6
"2",6,12,2,5,12,5,13,4,18,15
"3",8,9,13,10,1,17,3,12,19,17
"4",1,17,14,9,15,4,6,9,9,1
"5",10,1,4,11,16,2,17,11,1,9
"6",15,15,9,13,9,1,1,1,15,10
"7",11,16,6,2,6,8,7,13,2,18
"8",17,8,11,17,19,9,16,6,11,19
"9",14,18,5,8,2,12,18,7,13,5
"10",4,7,10,3,8,18,15,2,7,4
"11",12,4,15,15,7,7,14,15,17,2
"12",3,14,17,12,10,11,19,16,6,16
"13",13,3,16,7,13,13,4,3,4,14
"14",16,13,19,1,17,16,10,10,16,8
"15",7,11,18,18,3,6,9,5,3,7
"16",19,6,12,4,4,3,11,18,8,12
"17",18,10,1,14,11,15,5,14,5,3
"18",2,2,3,16,5,14,8,8,12,13
"19",9,19,8,19,14,19,12,19,10,11
