"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",25,8,4,15,23,3,15,19
"2",21,6,6,21,10,17,5,4
"3",20,12,11,2,25,15,25,7
"4",5,3,13,12,24,14,7,26
"5",6,21,7,20,22,21,22,13
"6",4,9,15,17,9,4,26,10
"7",26,20,19,13,15,11,21,1
"8",9,11,10,14,1,25,2,18
"9",17,26,3,10,12,26,13,8
"10",24,16,16,25,4,22,18,14
"11",3,7,18,8,19,23,11,2
"12",23,22,14,4,17,20,4,21
"13",2,17,5,6,13,6,3,11
"14",1,23,20,22,8,16,14,20
"15",16,5,24,18,14,24,24,22
"16",14,24,12,19,5,2,8,3
"17",11,1,9,24,18,8,17,6
"18",22,2,23,9,6,10,9,12
"19",13,18,26,16,26,18,6,9
"20",7,14,25,3,2,13,16,5
"21",12,4,2,5,7,19,20,16
"22",18,13,21,23,21,7,1,15
"23",10,25,22,7,20,5,19,17
"24",8,15,1,26,16,12,10,23
"25",19,19,8,11,3,9,23,25
"26",15,10,17,1,11,1,12,24
