"","V1","V2","V3","V4","V5","V6","V7"
"1",15,21,18,15,17,13,2
"2",6,1,10,10,11,3,1
"3",5,18,9,19,21,17,15
"4",17,14,15,20,7,2,17
"5",1,8,16,16,10,10,22
"6",2,19,13,4,14,5,8
"7",12,15,1,12,20,1,10
"8",19,16,22,9,12,16,18
"9",4,13,20,13,6,19,6
"10",20,22,4,6,9,9,12
"11",3,5,2,8,5,12,16
"12",10,2,17,5,19,20,13
"13",8,6,21,22,15,8,11
"14",11,20,11,11,4,22,21
"15",14,9,3,21,13,21,7
"16",18,4,7,14,18,6,20
"17",16,7,8,3,8,18,3
"18",22,11,14,7,22,11,5
"19",7,12,5,1,16,14,19
"20",13,10,19,2,1,4,14
"21",9,17,6,17,2,7,4
"22",21,3,12,18,3,15,9
