"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,25,17,15,11,19,24,4,2,13
"2",12,1,4,2,20,18,16,6,20,16
"3",14,7,21,24,26,4,13,3,8,15
"4",24,15,20,1,10,5,19,18,4,17
"5",10,18,5,19,2,3,2,13,6,12
"6",21,23,23,17,6,12,8,5,22,19
"7",2,16,3,25,9,21,10,19,18,18
"8",16,5,15,4,7,23,5,12,7,22
"9",15,21,11,5,5,25,21,21,23,11
"10",23,12,18,11,23,20,1,24,21,14
"11",19,17,26,9,22,10,26,11,17,8
"12",7,10,6,12,25,22,20,16,5,5
"13",20,2,10,22,18,11,7,20,1,10
"14",22,13,13,26,1,17,23,7,12,6
"15",9,9,24,18,12,26,3,9,15,2
"16",26,6,7,14,8,8,12,15,25,1
"17",18,22,2,6,14,14,6,2,9,4
"18",8,11,9,10,4,7,18,1,16,25
"19",25,20,8,20,21,24,15,10,11,24
"20",5,26,12,8,24,9,4,17,13,21
"21",17,8,1,16,13,2,25,25,14,20
"22",11,24,16,23,19,6,17,22,19,3
"23",1,14,14,3,17,1,9,8,24,9
"24",4,3,22,7,3,13,14,23,10,7
"25",13,19,25,13,16,16,11,26,3,26
"26",6,4,19,21,15,15,22,14,26,23
