"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",3,11,22,19,14,6,7,9,2,1,16
"2",2,16,18,4,1,11,18,18,26,12,28
"3",24,29,28,11,12,17,13,21,1,16,26
"4",1,15,6,29,19,18,14,1,18,18,1
"5",4,6,12,12,22,26,17,27,6,20,24
"6",11,19,2,23,7,24,12,11,12,5,27
"7",10,1,29,24,17,9,16,19,11,26,7
"8",28,8,5,5,3,7,10,15,9,23,15
"9",19,3,14,3,15,21,1,2,5,9,13
"10",26,24,13,13,5,10,15,4,23,4,5
"11",7,7,1,10,13,2,29,12,22,15,10
"12",22,5,25,16,8,25,20,7,28,17,8
"13",18,21,4,2,16,23,23,22,25,27,17
"14",25,10,10,20,24,14,26,8,16,25,29
"15",17,18,26,9,20,4,4,5,20,21,25
"16",23,23,3,25,21,12,3,23,8,13,9
"17",29,14,19,27,27,29,8,13,24,14,18
"18",21,4,15,28,9,3,22,25,15,7,23
"19",9,27,9,6,26,8,21,6,10,10,21
"20",16,13,8,18,2,27,25,20,3,11,3
"21",15,2,7,14,29,16,5,17,27,3,22
"22",8,12,20,17,4,20,2,26,19,28,20
"23",6,26,16,7,10,28,6,10,14,24,6
"24",12,9,24,1,25,13,11,24,17,8,2
"25",5,25,27,22,23,22,24,16,21,6,14
"26",27,17,21,8,18,19,27,29,13,2,11
"27",20,20,17,15,28,1,19,14,4,29,4
"28",14,22,23,26,6,15,28,3,7,22,19
"29",13,28,11,21,11,5,9,28,29,19,12
