"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",14,17,15,8,1,20,19,12,21,21,13,15
"2",1,15,3,16,14,3,11,13,1,22,14,13
"3",16,19,8,19,17,15,2,21,13,17,5,14
"4",10,1,22,7,11,10,6,10,7,20,1,17
"5",22,14,6,1,19,11,10,9,18,10,22,18
"6",3,4,11,4,15,16,18,2,12,15,16,21
"7",19,6,19,15,13,18,9,4,20,2,6,12
"8",2,16,14,2,7,7,1,8,9,6,7,7
"9",4,12,21,18,5,13,7,15,19,14,21,5
"10",5,5,5,14,3,8,21,19,16,7,9,16
"11",15,2,7,21,9,19,16,11,8,5,20,6
"12",9,21,18,5,12,4,14,22,14,3,19,11
"13",20,7,12,3,6,17,12,20,2,18,10,4
"14",13,3,9,9,16,1,5,17,22,9,12,1
"15",6,22,4,11,10,22,13,6,15,12,2,2
"16",17,18,20,13,18,9,22,7,4,13,15,3
"17",8,8,13,22,22,6,15,5,17,19,8,8
"18",11,20,10,20,4,12,8,1,3,4,11,20
"19",21,13,17,17,8,2,17,16,10,11,3,22
"20",7,10,16,12,21,21,4,18,5,8,17,19
"21",12,11,1,6,20,14,20,14,6,1,4,9
"22",18,9,2,10,2,5,3,3,11,16,18,10
