"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",21,9,14,5,15,18,5,2,18,13,12,17,13,20,7
"2",17,8,1,15,1,12,11,6,13,8,21,21,7,12,20
"3",13,16,21,8,14,3,16,10,16,7,19,3,9,16,2
"4",2,19,5,12,12,2,6,5,11,19,10,8,4,19,18
"5",6,20,15,4,8,13,19,3,7,5,16,13,18,9,17
"6",18,4,16,9,18,7,8,19,12,16,17,7,19,7,19
"7",5,6,3,1,11,14,10,17,17,4,14,6,3,6,6
"8",16,11,4,17,16,17,17,14,5,3,9,4,17,18,16
"9",14,10,17,2,3,8,15,18,4,15,7,15,2,17,14
"10",12,14,8,6,2,19,3,9,3,20,15,2,10,3,12
"11",3,5,19,16,4,15,12,7,14,17,8,5,20,13,5
"12",10,17,2,3,19,10,9,11,8,14,2,20,21,11,1
"13",15,18,6,19,6,6,18,15,19,18,13,16,15,5,9
"14",8,1,10,13,21,20,21,13,9,21,18,14,6,14,10
"15",4,13,11,20,9,9,4,21,1,11,20,11,14,21,3
"16",7,7,20,18,17,5,7,8,2,1,11,18,8,4,11
"17",1,15,13,11,13,21,13,20,15,9,6,19,12,1,21
"18",20,3,7,10,10,1,20,4,6,10,5,10,11,2,4
"19",9,2,9,7,5,4,2,12,20,2,4,12,16,15,15
"20",19,21,18,14,7,16,1,16,10,6,3,9,5,10,8
"21",11,12,12,21,20,11,14,1,21,12,1,1,1,8,13
