"","V1","V2","V3","V4","V5","V6","V7"
"1",8,22,23,22,3,4,17
"2",19,27,15,23,28,28,23
"3",17,6,21,15,23,1,29
"4",6,17,25,27,15,25,28
"5",26,9,6,12,26,22,10
"6",5,11,18,3,16,3,8
"7",14,15,3,28,24,5,21
"8",12,26,20,8,9,12,27
"9",4,8,5,25,10,13,5
"10",1,29,7,14,19,8,20
"11",16,7,28,5,20,27,19
"12",18,19,2,4,4,10,12
"13",20,3,22,26,18,18,4
"14",13,13,27,13,1,15,1
"15",30,20,17,30,21,14,16
"16",15,30,13,29,6,20,9
"17",23,28,24,2,12,23,14
"18",22,18,26,9,29,7,6
"19",7,14,11,1,27,16,25
"20",9,21,9,7,22,26,3
"21",29,16,19,16,7,30,7
"22",25,10,29,24,11,9,24
"23",3,24,30,18,25,19,11
"24",27,23,4,11,17,17,30
"25",28,4,12,6,8,6,18
"26",11,1,14,21,30,11,13
"27",21,12,8,20,2,24,26
"28",2,2,16,10,5,21,22
"29",10,5,1,17,13,29,15
"30",24,25,10,19,14,2,2
