"","V1","V2","V3","V4","V5","V6","V7"
"1",10,2,4,2,14,16,19
"2",1,6,17,11,19,11,20
"3",2,15,7,9,12,4,1
"4",18,17,3,20,7,10,5
"5",21,7,13,4,3,13,2
"6",22,10,6,17,16,7,21
"7",9,22,12,22,20,2,14
"8",14,5,2,8,9,1,13
"9",3,8,9,21,4,18,16
"10",20,3,19,23,13,12,11
"11",19,16,8,6,21,19,17
"12",11,21,5,12,1,20,8
"13",5,12,1,15,23,14,10
"14",16,4,10,13,18,22,4
"15",4,11,20,3,8,21,12
"16",8,1,16,16,6,6,7
"17",7,19,21,18,15,17,3
"18",17,13,22,14,2,3,18
"19",15,18,15,1,17,5,9
"20",6,20,11,5,5,9,22
"21",23,23,18,10,10,15,15
"22",13,14,14,19,11,23,23
"23",12,9,23,7,22,8,6
