"","V1","V2","V3","V4","V5","V6"
"1",23,20,1,7,19,13
"2",17,2,12,4,5,15
"3",21,13,3,25,14,28
"4",12,22,9,28,10,6
"5",14,10,16,29,1,20
"6",8,27,24,24,6,14
"7",7,18,7,2,7,24
"8",4,24,15,5,27,10
"9",19,25,4,15,2,4
"10",16,19,30,12,15,1
"11",26,30,19,19,17,9
"12",9,4,5,11,21,8
"13",11,14,26,14,30,12
"14",13,6,23,6,18,29
"15",3,21,20,27,20,26
"16",20,26,28,3,23,18
"17",22,7,25,26,26,5
"18",15,28,6,22,29,22
"19",5,3,29,21,11,17
"20",28,5,8,23,8,11
"21",25,9,17,1,13,3
"22",6,15,11,20,24,2
"23",27,11,10,9,28,25
"24",30,17,14,30,22,16
"25",2,12,21,8,4,7
"26",24,16,27,18,3,27
"27",18,1,18,16,25,23
"28",29,23,22,10,9,21
"29",1,8,2,17,16,19
"30",10,29,13,13,12,30
