"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",27,16,7,5,18,2,6,13
"2",25,13,3,24,2,14,20,25
"3",9,4,13,22,3,19,5,10
"4",18,9,23,7,5,4,26,11
"5",28,25,17,14,6,28,16,14
"6",10,11,1,8,23,7,17,6
"7",26,2,19,15,25,20,19,5
"8",14,1,12,28,16,1,15,22
"9",2,12,24,10,17,27,8,8
"10",5,20,4,25,26,23,12,12
"11",7,8,27,23,21,11,22,15
"12",17,26,25,19,24,5,9,19
"13",8,22,21,6,20,18,18,28
"14",13,18,28,12,1,15,11,3
"15",22,5,26,4,11,22,13,23
"16",6,27,9,3,4,10,14,17
"17",21,7,5,18,9,9,10,2
"18",1,3,6,13,13,16,25,20
"19",3,24,15,21,12,3,21,4
"20",23,19,14,11,27,8,24,24
"21",15,23,2,9,10,21,3,21
"22",19,10,10,20,22,26,7,27
"23",11,17,20,27,8,24,27,18
"24",16,15,11,1,15,25,23,1
"25",12,6,16,2,28,13,1,16
"26",4,14,18,16,7,6,4,26
"27",20,28,8,17,19,17,28,9
"28",24,21,22,26,14,12,2,7
