"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",2,3,1,3,3,1,2,3,3,2,2,3,1,3,2,3,1,2,1,1
"2",2,3,3,3,2,1,1,2,2,3,3,2,3,1,1,1,1,3,2,2
"3",3,3,2,1,1,2,3,1,2,1,2,1,2,3,1,2,1,3,2,1
"4",3,2,3,2,3,3,2,1,3,3,1,3,2,2,1,3,3,3,3,2
"5",2,2,3,2,2,1,3,3,2,1,1,2,2,3,3,1,3,1,3,1
"6",3,3,1,1,1,2,2,2,3,3,2,2,3,2,3,2,3,1,1,3
"7",1,2,3,1,2,1,1,1,1,2,2,2,1,3,1,3,2,1,2,3
"8",2,1,2,3,1,3,1,3,2,2,1,1,3,2,2,3,1,2,3,3
"9",2,1,3,1,3,2,3,2,1,3,1,1,1,1,3,2,1,2,1,2
"10",1,1,1,3,1,2,2,1,2,1,1,3,2,1,1,1,2,1,1,2
"11",1,3,2,2,1,3,1,3,1,2,2,3,1,1,3,2,3,3,2,2
"12",3,2,2,1,3,2,2,3,1,1,3,3,3,1,2,1,2,2,3,3
"13",1,1,2,2,2,1,3,2,3,1,3,1,2,2,2,3,3,3,1,3
"14",1,2,1,3,2,3,3,1,1,3,3,2,3,3,3,2,2,2,3,1
"15",3,1,1,2,3,3,1,2,3,2,3,1,1,2,2,1,2,1,2,1
