"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",2,1,2,1,2,1,1,3,2,3,2,1,1,1,2,1,3,3,3,2,1
"2",2,1,1,2,2,1,1,1,3,2,3,2,3,3,3,2,1,2,3,3,3
"3",1,3,1,2,2,3,2,2,2,1,3,1,1,1,3,1,2,3,1,2,3
"4",1,3,3,3,1,1,1,2,2,2,1,1,2,2,1,3,2,2,3,3,1
"5",1,2,2,2,3,3,3,3,3,3,3,2,3,2,1,2,3,3,2,1,1
"6",3,1,3,2,2,3,3,3,2,1,2,1,2,3,3,3,3,1,2,3,2
"7",2,3,1,1,3,2,1,3,3,1,1,2,2,2,2,3,1,1,1,1,2
"8",2,2,2,3,1,3,2,3,1,3,2,3,3,1,3,3,1,2,2,3,1
"9",3,2,2,1,3,2,3,1,1,3,1,1,2,3,1,1,1,2,2,2,3
"10",1,1,1,3,3,1,3,1,1,1,2,3,1,2,2,3,2,3,2,2,2
"11",1,1,3,1,1,2,2,1,1,2,3,2,2,2,3,1,2,1,1,1,1
"12",2,3,3,2,2,2,2,1,1,1,1,3,3,1,1,2,3,2,3,1,3
"13",3,2,2,3,3,3,1,2,2,3,3,3,1,3,2,2,2,1,3,1,3
"14",3,3,3,1,1,2,2,2,3,2,2,3,1,3,1,2,1,3,1,3,2
"15",3,2,1,3,1,1,3,2,3,2,1,2,3,1,2,1,3,1,1,2,2
