"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",1,1,3,1,1,2,2,1,3,3,1,3,2,2,2,1,1,2
"2",3,1,2,3,3,3,3,1,2,1,2,1,1,2,2,1,2,3
"3",1,3,1,2,2,3,3,3,1,2,3,3,3,2,3,1,2,2
"4",2,1,2,1,3,2,1,1,2,3,3,2,3,3,3,3,2,1
"5",3,3,2,3,2,1,3,2,3,3,1,2,2,1,3,3,3,2
"6",2,2,1,1,3,3,3,3,3,2,1,2,2,3,1,2,1,3
"7",1,2,1,2,2,1,2,1,3,1,2,1,3,2,1,3,3,1
"8",2,1,1,3,1,1,1,2,1,3,2,3,3,1,1,2,2,3
"9",3,2,3,1,2,2,1,3,2,1,3,2,1,1,1,1,3,2
"10",2,3,3,3,1,3,2,3,2,2,2,3,1,3,2,3,3,1
"11",3,2,3,2,1,1,2,2,1,1,3,1,2,3,3,2,1,3
"12",1,3,2,2,3,2,1,2,1,2,1,1,1,1,2,2,1,1
