"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2,1,1,2,3,2,1,3,3,2,2,1,1,3,3,1
"2",1,1,2,3,1,3,1,2,2,3,1,1,2,2,2,1
"3",1,2,3,2,3,1,2,3,1,1,1,1,3,2,3,2
"4",1,1,3,3,2,2,2,1,3,3,2,3,3,3,1,2
"5",2,3,3,3,1,1,2,2,3,1,3,2,1,2,1,1
"6",2,2,3,1,1,3,3,3,2,2,1,3,1,3,2,3
"7",3,1,3,1,2,1,1,2,1,2,3,3,2,2,3,3
"8",2,1,2,1,2,3,3,3,1,1,2,2,3,1,1,1
"9",2,3,2,3,3,2,1,1,1,2,1,2,2,1,1,3
"10",3,2,2,2,1,3,2,1,3,2,3,1,3,1,3,3
"11",3,3,1,2,3,3,2,3,2,3,3,3,2,2,1,2
"12",1,2,1,1,3,1,3,2,3,3,2,2,2,1,2,3
"13",3,3,2,2,2,1,3,1,1,3,2,1,1,3,2,1
"14",3,2,1,3,2,2,3,2,2,1,1,3,1,1,3,2
"15",1,3,1,1,1,2,1,1,2,1,3,2,3,3,2,2
