"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2,2,3,3,1,2,3,1,1,4,3,4,2,4,4,4
"2",3,4,2,2,4,1,1,1,2,3,2,3,2,4,1,1
"3",2,2,1,1,4,4,4,2,3,1,3,4,2,2,3,1
"4",4,4,4,2,2,4,3,2,2,1,1,4,3,3,2,4
"5",2,4,1,2,2,2,4,3,4,4,2,1,1,3,2,3
"6",1,3,2,4,4,4,3,1,1,4,2,1,4,2,2,3
"7",1,2,1,3,3,2,1,2,3,2,4,2,4,3,1,4
"8",3,3,4,3,1,1,4,2,3,2,2,1,4,2,4,1
"9",4,1,3,3,4,3,1,3,2,1,3,1,1,3,4,3
"10",4,4,1,3,3,3,4,4,1,3,4,3,3,2,4,2
"11",3,1,4,1,3,1,2,3,1,3,4,4,4,3,2,3
"12",1,3,4,1,1,4,1,4,3,4,3,2,3,4,3,2
"13",4,2,2,1,1,3,2,4,4,3,1,1,2,2,1,4
"14",4,3,3,4,3,2,2,3,4,4,3,4,3,1,1,1
"15",3,1,1,4,2,3,2,1,4,1,1,3,4,4,3,2
"16",1,3,2,1,2,2,1,2,1,2,1,3,1,1,4,2
"17",1,1,3,2,4,1,3,4,4,2,2,3,3,1,3,4
"18",2,4,2,4,1,1,2,3,2,1,4,2,2,1,3,3
"19",2,2,4,4,3,3,3,4,2,2,1,2,1,4,2,1
"20",3,1,3,2,2,4,4,1,3,3,4,2,1,1,1,2
