"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",1,2,2,1,1,1,2,3,1,1,3,2,1,2
"2",3,2,1,3,1,2,1,1,1,2,3,1,2,3
"3",3,3,2,2,3,2,1,3,3,3,2,1,1,2
"4",2,2,3,2,2,1,1,1,3,1,1,3,1,3
"5",3,1,3,2,3,3,2,2,1,2,1,2,1,1
"6",1,2,2,1,2,3,2,1,2,3,1,1,3,3
"7",3,1,1,1,1,1,2,2,3,3,2,3,3,2
"8",3,3,2,2,2,1,3,1,2,1,3,2,3,1
"9",1,2,1,1,3,3,1,2,3,1,2,2,2,1
"10",2,1,2,3,2,3,1,3,2,3,3,3,2,1
"11",1,3,1,3,1,2,3,2,2,2,1,3,1,1
"12",1,1,3,3,3,1,3,1,2,2,2,1,2,2
"13",2,3,3,3,1,3,2,3,3,2,2,2,3,3
"14",2,1,1,2,2,2,3,3,1,1,1,1,3,2
"15",2,3,3,1,3,2,3,2,1,3,3,3,2,3
